,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene1634,31.1654547347273,-1.64992542747788,0.576305842787862,-2.86293371501566,0.00419738362543642,0.0135511557443726
gene1635,48.2518061333877,0.887150590985311,0.582581554654687,1.52279210334964,0.127810726221345,0.225580075222233
gene1636,5.10541396650301,-2.7858317604342,1.31868534036661,-2.11258264208785,0.0346365056915632,0.0782632515626283
gene1637,180.487308689216,2.03479728026206,0.455886113236279,4.46338947641394,8.06732195616078e-06,5.2789522867495e-05
gene1638,1.76888233272871,0.783954365406767,2.00226766668133,0.391533249251404,0.695403116893185,0.781126773007898
gene1639,80.3374717934438,-0.746271396475662,0.451947237053298,-1.65123566490054,0.0986904632401009,0.182760117111298
gene1640,40.1717393820108,2.4049339146592,0.603208252489763,3.98690486201531,6.69408522859008e-05,0.000369786577783305
gene1641,46.6403467696763,0.229920308446737,0.661786102984124,0.347423899368665,0.728272881132076,0.806361729827121
gene1642,1.48006694765833,-2.91569858497056,2.54034375717898,-1.1477574941308,0.251068689067559,0.377467876888469
gene1643,35.0244161128583,-1.19931725583568,0.57961261378309,-2.06917038607532,0.0385301006127999,0.084694142608413
gene1644,16.2888315727397,0.41776487553492,0.789117305866915,0.529407823689747,0.596522572027176,0.700312471675492
gene1645,14.3588833746657,-3.5288223623719,0.942302038118577,-3.74489518182263,0.000180469105474318,0.00088199186885945
gene1646,1.74180208523383,-1.44690226774567,2.05115273651589,-0.705409325198961,0.480555542428321,0.599925293044318
gene1647,3.37525555011731,1.20415997672218,1.56861152073,0.767659781155878,0.442689336177775,0.569046938395954
gene1648,44.0716795613714,0.544406679895297,0.625713196893944,0.870057851740615,0.384268789671134,0.51568854230951
gene1649,237.134903378703,2.5875159676513,0.50116356827465,5.16301688999324,2.43001204459961e-07,2.27813629181214e-06
gene1650,25.3304334208798,-0.936085484586505,0.659962442952416,-1.41839205333992,0.156076334395495,0.262143714100961
gene1651,28.245480435242,0.0461109894905546,0.650171145418208,0.070921310205015,0.943460382988387,0.959701485042961
gene1652,8.7337499813549,-1.84655780549565,1.07758678194758,-1.71360472903933,0.0866013444532622,0.163794977384928
gene1653,101.913753830356,-0.411372384212415,0.430699903127319,-0.955125323282949,0.339514324273535,0.47087690777624
gene1654,44.8820352874099,-2.45949538056668,0.633801551229072,-3.88054490525813,0.000104222699207315,0.000544863977089183
gene1655,89.8636271675404,1.03708080267103,0.493153476065475,2.10295750309856,0.0354694844956439,0.0796837497309972
gene1656,168.117831940796,2.11113742059633,0.429025460646564,4.92077420630174,8.62025344836328e-07,7.30678749721357e-06
gene1657,15.2180167524825,-3.40809425057663,0.902272084971845,-3.77723561145414,0.000158578701057126,0.000788848130258663
gene1658,20.3591270008973,-2.03952895944128,0.716325737584776,-2.84720882195009,0.00441044209515946,0.0141453323775673
gene1659,0.661038584479916,1.86566927230974,3.25697705686495,0.572822356355671,0.566764980259904,0.676453427540396
gene1660,24.4775937265018,-0.901725976366082,0.590766067144873,-1.52636724841705,0.126918429440493,0.224787409090791
gene1661,12.0675675662313,-4.5427568028156,1.22594413628932,-3.70551697124273,0.000210960002844568,0.00101262694469018
gene1662,38.578674825705,-0.485906317002028,0.54352404682658,-0.893992307863913,0.371326006790489,0.503186736095521
gene1663,321.573894599855,4.72975479492364,0.451268059932537,10.4810315971193,1.05585668689771e-25,1.28682533715658e-23
gene1664,15.4968655548977,-2.54689889981662,0.834182263551651,-3.05316836751339,0.00226438852010066,0.00808710185750237
gene1665,29.1907558178028,-2.39792810703726,0.592072035021512,-4.05006142022926,5.12041916918558e-05,0.000288578536991673
